"","Title","First Author","Last Author","Journal","Year","First Author First Name","First Author Gender","First Author Accuracy","First Author Samples","Last Author First Name","Last Author Gender","Last Author Accuracy","Last Author Samples"
"18","47) Molecular Diagnostics for Ocular Infectious Diseases: LXXVIII Edward Jackson Memorial Lecture.","Russell N Van Gelder","Russell N Van Gelder","American journal of ophthalmology",2022,"Russell","male",99,7800,"Russell","male",99,7800
"19","48) Ophthalmology and Direct Ophthalmoscopy in Contemporary Medical Education.","Matthew J Hartley","George B Bartley","American journal of ophthalmology",2022,"Matthew","male",100,51412,"George","male",99,63411
"20","50) Validation of the Postnatal Growth and Retinopathy of Prematurity Screening Criteria in a Taiwanese Cohort.","Ching-Wen Huang","Tso-Ting Lai","American journal of ophthalmology",2022,"Ching-Wen","female",83,6,"Tso-Ting","female",66,1757
"21","51) Real-World Visual Outcomes of Laser and Anti-VEGF Treatments for Retinopathy of Prematurity.","Bradley S Gundlach","Irena Tsui","American journal of ophthalmology",2022,"Bradley","male",99,6719,"Irena","female",99,11745
"22","52) Effectiveness of Difluprednate for the Treatment of Anterior Scleritis.","Paulina Liberman","Meghan K Berkenstock","American journal of ophthalmology",2022,"Paulina","female",98,29055,"Meghan","female",99,4390
"23","53) Retinopathy of Prematurity: Advances in the Screening and Treatment of Retinopathy of Prematurity Using a Single Center Approach.","Audina M Berrocal","Timothy Murray","American journal of ophthalmology",2022,"Audina","female",96,26,"Timothy","male",99,15778
"24","54) Masquerading Superior Oblique Palsy.","Joseph L Demer","Robert A Clark","American journal of ophthalmology",2022,"Joseph","male",99,63161,"Robert","male",99,145540
"25","55) Should We Abandon Hydrophilic Intraocular Lenses?","Andrzej Grzybowski","Raimo Tuuminen","American journal of ophthalmology",2022,"Andrzej","male",99,22799,"Raimo","male",99,336
"26","56) Frequency and Clinical Course of Residual Orbital Masses After Treatment of Orbital Rhabdomyosarcoma.","Rachel K Sobel","Bita Esmaeli","American journal of ophthalmology",2022,"Rachel","female",98,41104,"Bita","female",91,793
"27","57) Periocular Adverse Reactions to Omidenepag Isopropyl.","Kenji Inoue","Goji Tomita","American journal of ophthalmology",2022,"Kenji","male",98,1939,"Goji","male",80,25
"28","59) The Pattern of Retinal Ganglion Cell Loss in Wolfram Syndrome is Distinct From Mitochondrial Optic Neuropathies.","Piero Barboni","Chiara La Morgia","American journal of ophthalmology",2022,"Piero","male",99,12229,"Chiara","female",99,25764
"29","61) Breaking Bad News in Eye Care.","Kimberly M Papp","Ian M Macdonald","American journal of ophthalmology",2022,"Kimberly","female",98,18985,"Ian","male",99,34076
"30","64) Association Between Diabetic Retinopathy, Brain Structural Abnormalities, and Cognitive Impairment for Accumulated Evidence in Observational Studies.","Yin-He Chai","Rafael Simó","American journal of ophthalmology",2022,"Yin-He","male",55,1941,"Rafael","male",99,52197
"31","65) Coincident PAMM and AMN and Insights Into a Common Pathophysiology.","Claudio Iovino","David Sarraf","American journal of ophthalmology",2022,"Claudio","male",99,46478,"David","male",99,381770
"32","66) Ocular Injuries From Drive-by Paintball Shootings.","Shivam V Amin","Hassan A Shah","American journal of ophthalmology",2022,"Shivam","male",100,4997,"Hassan","male",98,52735
"33","68) Vision Prognosis and Associated Factors of Optic Neuritis in Dependence of Glial Autoimmune Antibodies.","Mo Yang","Shihui Wei","American journal of ophthalmology",2022,"Mo","male",78,7467,"Shihui","female",74,35
"34","70) Increasing LGBTQ+ Visibility and Representation in Ophthalmology: A Professional Imperative.","Nishanth S Iyengar","Ta Chen Chang","American journal of ophthalmology",2022,"Nishanth","male",100,899,"Ta","male",57,1811
"35","71) Ghost and Honorary Authorship in Ophthalmology: A Cross-Sectional Survey.","Grant A Justin","Ron W Pelton","American journal of ophthalmology",2022,"Grant","male",80,5,"Ron","male",99,19779
"36","72) False Positive Responses in Standard Automated Perimetry.","Anders Heijl","Boel Bengtsson","American journal of ophthalmology",2022,"Anders","male",99,9660,"Boel","female",66,71
"37","73) Identification of Sex and Age from Macular Optical Coherence Tomography and Feature Analysis Using Deep Learning.","Kuan-Ming Chueh","Sheng-Lung Huang","American journal of ophthalmology",2022,"Kuan-Ming","male",100,3,"Sheng-Lung","male",78,899
"38","74) Pediatric Cataract Surgery Following Treatment for Retinoblastoma: A Case Series and Systematic Review.","Stephanie N Kletke","Asim Ali","American journal of ophthalmology",2022,"Stephanie","female",98,66153,"Asim","male",99,4715
"39","75) Primary Mucoepidermoid Carcinoma of the Lacrimal Apparatus.","Hui Sun","Yingwen Bi","American journal of ophthalmology",2022,"Hui","female",52,1684,"Yingwen","female",64,11
"40","76) Long-Term Outcomes of Pediatric Idiopathic Intermediate Uveitis.","Abdulrahman F AlBloushi","Harry Petrushkin","American journal of ophthalmology",2022,"Abdulrahman","male",99,3660,"Harry","male",98,24473
"41","79) Role of Caspase-1 as a Biomarker of Ocular Surface Damage.","Arianna Tovar","Alfonso L Sabater","American journal of ophthalmology",2022,"Arianna","female",99,15456,"Alfonso","male",99,24668
"42","81) Vitreoretinal Lymphoma: Optimizing Diagnostic Yield and Accuracy.","Matthew C Santos","George J Harocopos","American journal of ophthalmology",2022,"Matthew","male",100,51412,"George","male",99,63411
"43","84) Cultivated Autologous Limbal Epithelial Cell Transplantation: New Frontier in the Treatment of Limbal Stem Cell Deficiency.","Ula Jurkunas","Myriam Armant","American journal of ophthalmology",2022,"Ula","female",94,2681,"Myriam","female",98,15574
"44","85) Time Trends of Etiologies of Blindness in Israel 2009-2020:Have Methods to Decrease Leading Causes of Blindness Been Exhausted?","Asaf Israeli","Eedy Mezer","American journal of ophthalmology",2022,"Asaf","male",98,727,"Eedy","male",93,15
"45","86) Prevalence of the Infantile Strabismus Complex in Premature Children With and Without Periventricular Leukomalacia.","Sangeeta Khanna","Lawrence Tychsen","American journal of ophthalmology",2022,"Sangeeta","female",98,1487,"Lawrence","male",98,9892
"46","87) Assessment of the Role and Timing of Glaucoma Surgery in Boston Keratoprosthesis Type 1 Patients.","Dominique Geoffrion","Mona Harissi-Dagher","American journal of ophthalmology",2022,"Dominique","male",57,37520,"Mona","female",96,14965
"47","88) An Update on the Hemodynamic Model of Age-Related Macular Degeneration.","Philip J Rosenfeld","Ruikang K Wang","American journal of ophthalmology",2022,"Philip","male",99,21773,"Ruikang","male",100,2
"48","89) Clinical Manifestations and Implications of Nonneoplastic Uveitis Masquerade Syndrome.","Yung-Ray Hsu","Yun-Ju Chen","American journal of ophthalmology",2022,"Yung-Ray","male",94,22790,"Yun-Ju","female",100,11
"49","90) Performances of Machine Learning in Detecting Glaucoma Using Fundus and Retinal Optical Coherence Tomography Images: A Meta-Analysis.","Jo-Hsuan Wu","Jou-Wei Lin","American journal of ophthalmology",2022,"Jo-Hsuan","male",60,19240,"Jou-Wei","male",74,4500
"50","92) Population-Based Incidence and Outcomes of Compressive Optic Neuropathy.","Alice Liu","John J Chen","American journal of ophthalmology",2022,"Alice","female",98,40209,"John","male",99,219085
"51","93) Advanced OCT Analysis of Biopsy-proven Vitreoretinal Lymphoma.","Francesco Pichi","David Sarraf","American journal of ophthalmology",2022,"Francesco","male",99,74458,"David","male",99,381770
"52","94) Incidence and Clinical Characteristics of Infantile Conjunctivitis in a Western Population.","Cole E Bothun","Brian G Mohney","American journal of ophthalmology",2022,"Cole","male",93,3387,"Brian","male",99,69588
"53","95) Development and validation of a novel nomogram for predicting the occurrence of myopia in schoolchildren: A prospective cohort study.","Chengnan Guo","Hao Chen","American journal of ophthalmology",2022,"Chengnan","male",94,16,"Hao","male",85,2143
"54","96) Clinical and Demographic Profile of Uveal Coloboma: A Hospital-Based Study of 14,371 Eyes of 9557 Indian Patients.","Anthony Vipin Das","Tapas Ranjan Padhi","American journal of ophthalmology",2022,"Anthony","male",99,85303,"Tapas","male",99,1018
"55","97) Effects of Mitomycin-C and 5-Fluorouracil on Ocular Adnexal Sebaceous Carcinoma Cells.","Ryan A Gallo","Andrew J Rong","American journal of ophthalmology",2022,"Ryan","male",99,64450,"Andrew","male",99,82448
"56","98) Longitudinal Microstructure Changes of the Retina and Choroid in Retinitis Pigmentosa.","Chang Ki Yoon","Hyeong Gon Yu","American journal of ophthalmology",2022,"Chang","male",72,2129,"Hyeong","male",98,45
"57","100) Diagnosis and Management of Idiopathic Persistent Iritis after Cataract Surgery (IPICS).","Matias Soifer","Victor L Perez","American journal of ophthalmology",2022,"Matias","male",99,10729,"Victor","male",99,78043
"58","101) Longitudinal Associations Between Vision Impairment and the Incidence of Neuropsychiatric, Musculoskeletal, and Cardiometabolic Chronic Diseases.","Ajay Kolli","Joshua R Ehrlich","American journal of ophthalmology",2022,"Ajay","male",100,20729,"Joshua","male",100,35201
"59","102) Structural and Functional Evaluation of Meibomian Glands and Its Correlation With Dry Eye Parameters in Stevens-Johnson Syndrome.","Manish Panjiyar","Geetha Iyer","American journal of ophthalmology",2022,"Manish","male",100,19543,"Geetha","female",96,1301
"60","103) Effect of Thermoelectric Warming Therapy for the Treatment of Meibomian Gland Dysfunction.","Maria-Laura Gomez","Lingyun Cheng","American journal of ophthalmology",2022,"Maria-Laura","female",100,8,"Lingyun","female",57,35
"61","106) Mechanistic Insights into the Pathogenesis of Proliferative and Nonproliferative Vitreomacular Traction.","Yoko Ito","Keisuke Mori","American journal of ophthalmology",2022,"Yoko","female",81,1410,"Keisuke","male",100,782
"62","108) Gender Representation Among Presenters in Ophthalmology Subspecialties in 2019: A Retrospective Review.","Eleanor Burton","Jeff H Pettey","American journal of ophthalmology",2022,"Eleanor","female",99,6723,"Jeff","male",99,46165
"63","109) Small Choroidal Melanoma: Outcomes After Surveillance Versus Immediate Treatment.","Arun D Singh","Emily C Zabor","American journal of ophthalmology",2022,"Arun","male",99,24421,"Emily","female",98,36641
"64","110) Ophthalmology Education Leadership Attitudes Toward Mentorship of Female Medical Students.","Megan Paul","Nisha Chadha","American journal of ophthalmology",2022,"Megan","female",99,21742,"Nisha","female",97,4579
"65","111) Association of Mood Disorders, Substance Abuse, and Anxiety Disorders in Children and Teens With Serious Structural Eye Diseases.","Elana A Meer","Stacy L Pineles","American journal of ophthalmology",2022,"Elana","female",98,502,"Stacy","female",92,8063
"66","113) Micronutrients and Diabetic Retinopathy: Evidence From The National Health and Nutrition Examination Survey and a Meta-analysis.","Ruilin Xiong","Mingguang He","American journal of ophthalmology",2022,"Ruilin","female",54,13,"Mingguang","male",100,7
"67","114) Comparison of the Effects of Latanoprostene Bunod and Timolol on Retinal Blood Vessel Density: A Randomized Clinical Trial.","Nevin W El-Nimri","Robert N Weinreb","American journal of ophthalmology",2022,"Nevin","female",79,1918,"Robert","male",99,145540
"68","115) Comparing Five Criteria for Evaluating Glaucomatous Visual Fields.","Herman Stubeda","Jayme R Vianna","American journal of ophthalmology",2022,"Herman","male",99,10036,"Jayme","female",76,5523
"69","117) Repeatability of the Accommodative Response Measured by the Grand Seiko Autorefractor in Children With and Without Amblyopia and Adults.","Ryan N Chinn","Tawna L Roberts","American journal of ophthalmology",2022,"Ryan","male",99,64450,"Tawna","female",93,28
"70","118) Topical Pharmacologic Interventions Versus Active Control, Placebo, or No Treatment for Epidemic Keratoconjunctivitis: Findings From a Cochrane Systematic Review.","Su-Hsun Liu","Irene C Kuo","American journal of ophthalmology",2022,"Su-Hsun","female",70,4267,"Irene","female",98,30206
"71","119) Dichoptic and Monocular Visual Acuity in Amblyopia.","Eileen E Birch","Krista R Kelly","American journal of ophthalmology",2022,"Eileen","female",99,5020,"Krista","female",98,4067
"72","120) Molecular and Clinical Characterization of Human Adenovirus E4-Associated Conjunctivitis.","Russell N Van Gelder","David Stroman","American journal of ophthalmology",2022,"Russell","male",99,7800,"David","male",99,381770
"73","123) Influence of Author's Gender on the Peer-Review Process in Vision Science.","Marta Jiménez-García","Jos J Rozema","American journal of ophthalmology",2022,"Marta","female",98,84333,"Jos","male",94,8753
"74","124) Cataract Surgery in Uveitis: Risk Factors, Outcomes, and Complications.","Haya Husam Al-Ani","Rachael Louise Niederer","American journal of ophthalmology",2022,"Haya","female",89,1136,"Rachael","female",98,6410
"75","127) Rates of Choroidal Microvasculature Dropout and Retinal Nerve Fiber Layer Changes in Glaucoma.","Eleonora Micheletti","Robert N Weinreb","American journal of ophthalmology",2022,"Eleonora","female",99,10967,"Robert","male",99,145540
"76","130) Corneal Biometric Features and Their Association With Axial Length in High Myopia.","Guangming Jin","Yizhi Liu","American journal of ophthalmology",2022,"Guangming","male",100,23,"Yizhi","male",87,15
"77","131) Visual Field Endpoints for Neuroprotective Trials: A Case for AI-Driven Patient Enrichment.","Andrew Chen","Aaron Y Lee","American journal of ophthalmology",2022,"Andrew","male",99,82448,"Aaron","male",99,36714
"78","134) Representation of Women in Ophthalmology Receiving Private Industry Funding 2015-2018.","Marissa Patel","Jayanth Sridhar","American journal of ophthalmology",2022,"Marissa","female",97,5194,"Jayanth","male",100,586
"79","135) Cyclin D1 Expression and Molecular Genetic Findings in Periocular Histiocytoses and Neoplasms of Macrophage-Dendritic Cell Lineage.","Tatyana Milman","Ralph C Eagle","American journal of ophthalmology",2022,"Tatyana","female",98,4919,"Ralph","male",99,8958
"80","137) First-in-Human Robot-Assisted Subretinal Drug Delivery Under Local Anesthesia.","Jasmina Cehajic-Kapetanovic","Robert E MacLaren","American journal of ophthalmology",2022,"Jasmina","female",97,2730,"Robert","male",99,145540
"81","138) Long-Term Follow-up of Patients With Uveitis Treated With Adalimumab: Response Rates and Reasons for Discontinuation of Therapy.","Laura E M Eurelings","Saskia M Rombach","American journal of ophthalmology",2022,"Laura","female",98,163073,"Saskia","female",98,4671
"82","139) When Is Infantile Strabismus a Sign of Neurologic Disease?","Michael C Brodsky","Michael C Brodsky","American journal of ophthalmology",2022,"Michael","male",99,211741,"Michael","male",99,211741
"83","140) Longitudinal Changes in Vision and Retinal Morphology in Wolfram Syndrome.","Bliss E O'Bryhim","James Hoekel","American journal of ophthalmology",2022,"Bliss","female",73,577,"James","male",99,131879
"84","141) Unilateral Cilioretinal Artery and Advanced Age-Related Macular Degeneration: A Retrospective Cross-Sectional Study.","Dong Ik Kim","Hyeong Gon Yu","American journal of ophthalmology",2022,"Dong","male",87,2212,"Hyeong","male",98,45
"85","143) Paracentral Acute Middle Maculopathy and the Ischemic Cascade: Toward Interventional Management.","Peter Y Zhao","David Sarraf","American journal of ophthalmology",2022,"Peter","male",99,146529,"David","male",99,381770
"86","144) The Blue Light Hazard Versus Blue Light Hype.","Martin A Mainster","Patricia L Turner","American journal of ophthalmology",2022,"Martin","male",98,139211,"Patricia","female",98,88761
"87","145) Syphilitic Uveitis and Alopecia.","Benjamin James Fowler","Laura Scott","American journal of ophthalmology",2022,"Benjamin","male",99,50718,"Laura","female",98,163073
"88","147) Bruch Membrane Opening Detection Accuracy in Healthy Eyes and Eyes With Glaucoma With and Without Axial High Myopia in an American and Korean Cohort.","Jasmin Rezapour","Linda M Zangwill","American journal of ophthalmology",2022,"Jasmin","female",93,26392,"Linda","female",97,68888
"89","148) Peripapillary Microvasculature Predicts the Incidence and Development of Diabetic Retinopathy: An SS-OCTA Study.","Meng Yuan","Wenyong Huang","American journal of ophthalmology",2022,"Meng","male",61,1052,"Wenyong","male",100,16
"90","151) Race and Ethnicity Differences in Disease Severity and Visual Field Progression Among Glaucoma Patients.","Omar A Halawa","Tobias Elze","American journal of ophthalmology",2022,"Omar","male",98,63052,"Tobias","male",100,17675
"91","153) Hearing Dysfunction After Treatment With Teprotumumab for Thyroid Eye Disease.","Connie M Sears","Andrea L Kossler","American journal of ophthalmology",2022,"Connie","female",96,7411,"Andrea","female",54,161059
"92","154) Noninvasive Visualization of the Tear Film Microaerosol During Noncontact Tonometry Measurements.","Takashi Kojima","Kazuo Tsubota","American journal of ophthalmology",2022,"Takashi","male",99,1807,"Kazuo","male",99,362
"93","155) A 5-Year Retrospective Analysis of the Risk Factors, Treatment, and Prognosis of Patients With Fungal Keratitis in Heilongjiang, China.","Xin Jin","Hong Zhang","American journal of ophthalmology",2022,"Xin","male",52,1659,"Hong","female",53,3853
"94","159) WFS1-Associated Optic Neuropathy: Genotype-Phenotype Correlations and Disease Progression.","Anna Majander","Patrick Yu-Wai-Man","American journal of ophthalmology",2022,"Anna","female",98,184560,"Patrick","male",99,118290
"95","160) Visual Function in Pseudophakic Eyes with Fuchs' Endothelial Corneal Dystrophy.","Sanjay V Patel","Keith H Baratz","American journal of ophthalmology",2022,"Sanjay","male",99,20065,"Keith","male",98,21035
"96","161) Visual Dysfunction and Structural Correlates in Sorsby Fundus Dystrophy.","Kristin Raming","Kristina Hess","American journal of ophthalmology",2022,"Kristin","female",98,9818,"Kristina","female",98,18828
"97","163) Impact of the Time to Surgery on Visual Outcomes for Rhegmatogenous Retinal Detachment Repair: A Meta-Analysis.","Amirthan Sothivannan","Rajeev H Muni","American journal of ophthalmology",2022,"Amirthan","male",100,2,"Rajeev","male",100,6971
"98","164) Clinical, Meibographic, and Interferometric Evaluation in Children With Ocular Rosacea.","Tiphanie Audelan","Serge Doan","American journal of ophthalmology",2022,"Tiphanie","female",97,895,"Serge","male",98,24551
"99","165) Computational Modeling of Ophthalmic Procedures: Computational Modeling of Ophthalmic Procedures.","William J Foster","Shlomit Schaal","American journal of ophthalmology",2022,"William","male",99,67797,"Shlomit","female",97,79
"100","166) Quantified Retinal Morphology and Its Association With Papilledema and Visual Acuity in Syndromic and Complex Craniosynostosis: An Optical Coherence Tomography Study.","Bianca K DEN Ottelander","Sjoukje E Loudon","American journal of ophthalmology",2022,"Bianca","female",98,21575,"Sjoukje","female",98,116
"101","167) A Novel Method of Quantifying Retinal Displacement Using Ultra-Widefield Fundus Autofluorescence Imaging.","Nishaant Bhambra","Rajeev H Muni","American journal of ophthalmology",2022,"Nishaant","male",100,12,"Rajeev","male",100,6971
"102","170) Vigorous Physical Activity as a Risk Factor for Central Serous Chorioretinopathy.","Felice Cardillo Piccolino","Marco Lupidi","American journal of ophthalmology",2022,"Felice","male",91,3295,"Marco","male",99,133237
"103","171) Multilayer Macula Vessel Density and Visual Field Progression in Glaucoma.","Alireza Kamalipour","Robert N Weinreb","American journal of ophthalmology",2022,"Alireza","male",99,9043,"Robert","male",99,145540
"104","172) Scheimpflug Backscatter Imaging of the Fibrillar Layer in Fuchs Endothelial Corneal Dystrophy.","Agathe Hribek","Mario Matthaei","American journal of ophthalmology",2022,"Agathe","female",96,2614,"Mario","male",99,112267
"105","173) Severe Congenital Corneal Opacities.","Dalia El Hadi","Christiane Al-Haddad","American journal of ophthalmology",2022,"Dalia","female",99,7730,"Christiane","female",98,10974
"106","174) Risk Factors for Reoperation after Strabismus Surgery among Patients with Thyroid Eye Disease.","Bryce Hwang","Scott R Lambert","American journal of ophthalmology",2022,"Bryce","male",97,2854,"Scott","male",100,48262
"107","175) Characteristics and Outcomes of Glaucoma Associated With Congenital Ectropion Uvea.","Adam Jacobson","Brenda L Bohnsack","American journal of ophthalmology",2022,"Adam","male",99,101750,"Brenda","female",98,22551
"108","177) Risk Factors Associated With Intraocular Lens Decentration After Cataract Surgery.","Jie Xu","Tianyu Zheng","American journal of ophthalmology",2022,"Jie","male",61,1651,"Tianyu","male",85,84
"109","179) Disparities in Eye Care Utilization During the COVID-19 Pandemic.","Angela R Elam","Paula Anne Newman-Casey","American journal of ophthalmology",2022,"Angela","female",98,69937,"Paula","female",98,51503
"110","185) Relapsed acute lymphoblastic leukemia.","Judy L Chen","Edmund Tsui","American journal of ophthalmology",2021,"Judy","female",97,10437,"Edmund","male",99,4135
"111","188) Optical Microangiography and Progressive Ganglion Cell-Inner Plexiform Layer Loss in Primary Open-Angle Glaucoma.","Harsha L Rao","Robert N Weinreb","American journal of ophthalmology",2022,"Harsha","male",78,3385,"Robert","male",99,145540
"112","190) An IRIS Registry-Based Assessment of Primary Open-Angle Glaucoma Practice Patterns in Academic Versus Nonacademic Settings.","Gregory L Skuta","Anne L Coleman","American journal of ophthalmology",2022,"Gregory","male",99,21213,"Anne","female",98,48855
"113","191) Standard Reliability and Gaze Tracking Metrics in Glaucoma and Glaucoma Suspects.","Andrew Steven Camp","Robert N Weinreb","American journal of ophthalmology",2022,"Andrew","male",99,82448,"Robert","male",99,145540
"114","192) Deep Learning Image Analysis of Optical Coherence Tomography Angiography Measured Vessel Density Improves Classification of Healthy and Glaucoma Eyes.","Christopher Bowd","Robert N Weinreb","American journal of ophthalmology",2022,"Christopher","male",99,55041,"Robert","male",99,145540
"115","193) Within-Trial Cost-Effectiveness of an Adherence-Enhancing Educational Intervention for Glaucoma.","Andrew M Williams","Anna Hung","American journal of ophthalmology",2022,"Andrew","male",99,82448,"Anna","female",98,184560
"116","194) Correlation of Change in Central Subfield Thickness and Change in Visual Acuity in Neovascular AMD: Post Hoc Analysis of VIEW 1 and 2.","Onnisa Nanegrungsunk","Neil M Bressler","American journal of ophthalmology",2022,"Onnisa","female",100,3,"Neil","male",99,16868
"117","195) Risk Factors for Glaucoma Drainage Device Revision or Removal Using the IRIS Registry.","Nathan E Hall","David Solá-Del Valle","American journal of ophthalmology",2022,"Nathan","male",99,29365,"David","male",99,381770
"118","197) Histology and Clinical Lifecycle of Acquired Vitelliform Lesion, a Pathway to Advanced Age-Related Macular Degeneration.","Max Brinkmann","Christine A Curcio","American journal of ophthalmology",2022,"Max","male",98,69969,"Christine","female",98,55857
"119","201) Development and Validation of a Visual Symptom-Specific Patient-Reported Outcomes Instrument for Adults With Cataract Intraocular Lens Implants.","Kathryn Lasch","Renea Stasaski","American journal of ophthalmology",2022,"Kathryn","female",99,6915,"Renea","female",97,179
"120","203) Seasonal Variation and Trend of Intraocular Pressure Decrease Over a 20-Year Period in Normal-Tension Glaucoma Patients.","Yoko Ikeda","Shigeru Kinoshita","American journal of ophthalmology",2022,"Yoko","female",81,1410,"Shigeru","male",100,216
"121","204) Optic Nerve Head Morphology in Adults Born Extreme, Very, and Moderate Preterm With and Without Retinopathy of Prematurity: Results From the Gutenberg Prematurity Eye Study.","Achim Fieß","Alexander K Schuster","American journal of ophthalmology",2022,"Achim","male",99,2203,"Alexander","male",99,56237
"122","205) Glaucomatous or Non-glaucomatous Optic Neuropathy-It Is a Question?","Brad Fortune","Andrzej Grzybowski","American journal of ophthalmology",2022,"Brad","male",100,15977,"Andrzej","male",99,22799
"123","206) Evaluation of the SUN Classification Criteria for Uveitides in an Academic Uveitis Practice.","Lucy I Mudie","Alan G Palestine","American journal of ophthalmology",2022,"Lucy","female",98,20520,"Alan","male",99,44635
"124","208) Healthcare Resource Utilization and Cost of Care in Patients With Periocular Basal Cell Carcinoma: A Real-World Study.","Alon Kahana","Edward McKenna","American journal of ophthalmology",2022,"Alon","male",96,825,"Edward","male",99,24073
"125","211) Combination of Panel-based Next-Generation Sequencing and Clinical Findings in Congenital Ectopia Lentis Diagnosed in Chinese Patients.","Tian-Hui Chen","Yong-Xiang Jiang","American journal of ophthalmology",2022,"Tian-Hui","male",57,2985,"Yong-Xiang","male",84,3012
"126","213) Corneal Edema and Keratoplasty: Risk Factors in Eyes With Previous Glaucoma Drainage Devices.","Bradley Beatson","Divya Srikumaran","American journal of ophthalmology",2022,"Bradley","male",99,6719,"Divya","female",95,7913
"127","215) Randomized Controlled Trial of Intraocular Lens Orientation for Dysphotopsia.","Saagar V Pamulapati","Mitul R Vakharia","American journal of ophthalmology",2022,"Saagar","male",100,154,"Mitul","male",96,655
"128","216) Neonatal-Onset Congenital Ectropion Uveae May Be Caused by a Distinct CYP1B1 Pathologic Variant.","Sushmita Kaushik","Surinder Singh Pandav","American journal of ophthalmology",2022,"Sushmita","female",99,625,"Surinder","male",93,848
"129","217) The Impact of Pharmacological Dilation on Intraocular Pressure in Primary Angle Closure Suspects.","Lanhua Wang","Mingguang He","American journal of ophthalmology",2022,"Lanhua","female",100,8,"Mingguang","male",100,7
"130","218) A Caveat About Financial Incentives for Anti-Vascular Endothelial Growth Factor Therapy for Diabetic Retinopathy.","Benjamin K Young","Thomas J Wubben","American journal of ophthalmology",2022,"Benjamin","male",99,50718,"Thomas","male",99,129177
"131","219) In Vivo Imaging of the Schlemm's Canal and the Response to Selective Laser Trabeculoplasty.","Toshit Varshney","Viney Gupta","American journal of ophthalmology",2022,"Toshit","male",100,16,"Viney","male",96,117
